	Acilius spp.	Aeshnidae	Anguille	Anisoptere	Asellus aquaticus	Bivalve	Breme spp.	Brochet	Carassin	Carpe	Chironomide	Colymbetes spp.	Corises	Crapaud commun	Crevette spp.	Culicidae	Cybister spp.	Detritus	Dytique	Dytiscus spp.	Ecrevisse de Louisiane	Ephemere	Epinoche	Epinochette	Gambusie	Gammare spp.	Gardon	Gasteropode spp.	Gerridae	Glossiphonie	Graphoderus spp.	Grenouille agile	Grenouille verte	Gyrinidae	Hirudinea	Hydrochara spp.	Hydrometridae	Hydrophilidae	Hygrobia hermanni	Libellulidae	Limnee	Macrophyte	Naucoridae	Nepidae	Notonecta glauca	Pelodyte ponctue	Perche-soleil	Perche franche	Physe	Phytoplankton	Poisson-chat	Potamogyrus spp.	Rainette verte	Ranatre	Rotengle	Salamandre tachetee	Tanche	Trichoptere	Triton marbre	Triton palme	Zooplankton	Zygoptere
Acilius spp.	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1
Aeshnidae	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1
Anguille	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anisoptere	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1
Asellus aquaticus	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1
Bivalve	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Breme spp.	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Brochet	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Carassin	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Carpe	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
