	Acilius spp.	Aeshnidae	Anguille	Anisoptere	Asellus aquaticus	Bivalve	Breme spp.	Brochet	Carassin	Carpe	Chironomide	Colymbetes spp.	Corises	Crapaud commun	Crevette spp.	Culicidae	Cybister spp.	Detritus	Dytique	Dytiscus spp.	Ecrevisse de Louisiane	Ephemere	Epinoche	Epinochette	Gambusie	Gammare spp.	Gardon	Gasteropode spp.	Gerridae	Glossiphonie	Graphoderus spp.	Grenouille agile	Grenouille verte	Gyrinidae	Hirudinea	Hydrochara spp.	Hydrometridae	Hydrophilidae	Hygrobia hermanni	Libellulidae	Limnee	Macrophyte	Naucoridae	Nepidae	Notonecta glauca	Pelodyte ponctue	Perche-soleil	Perche franche	Physe	Phytoplankton	Poisson-chat	Potamogyrus spp.	Rainette verte	Ranatre	Rotengle	Salamandre tachetee	Tanche	Trichoptere	Triton marbre	Triton palme	Zooplankton	Zygoptere	Couleuvre a collier
Acilius spp.	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0
Aeshnidae	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Anguille	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anisoptere	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Asellus aquaticus	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0
Bivalve	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Breme spp.	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brochet	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carassin	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carpe	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chironomide	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0
Colymbetes spp.	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Corises	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0
Crapaud commun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1
Crevette spp.	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Culicidae	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0
Cybister spp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Detritus	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0
Dytique	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Dytiscus spp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ecrevisse de Louisiane	1	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
Ephemere	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0
Epinoche	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epinochette	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gambusie	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammare spp.	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
Gardon	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gasteropode spp.	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Gerridae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Glossiphonie	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Graphoderus spp.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Grenouille agile	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1
Grenouille verte	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1
Gyrinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hirudinea	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hydrochara spp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Hydrometridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrophilidae	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hygrobia hermanni	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
Libellulidae	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Limnee	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Macrophyte	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Naucoridae	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Nepidae	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Notonecta glauca	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pelodyte ponctue	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
Perche-soleil	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Perche franche	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Physe	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Phytoplankton	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0
Poisson-chat	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Potamogyrus spp.	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Rainette verte	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
Ranatre	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
