Id_Mare	Perimetre	Surface	centroide_x	centroide_y
M_0007	50,30017646030	133,13137758700	295446,27903800000	6709586,89463000000
M_0853	424,97679118000	8950,52861495000	296056,03274400000	6710693,95604000000
M_0932	339,98993830800	3585,94272535000	298870,57511000000	6709103,92121000000
M_1179	256,61104280300	3881,86912407000	299656,85664700000	6710603,99333000000
M_1123	358,56626262900	7022,79276223000	299728,58720300000	6710521,61102000000
M_0005	58,12513541740	197,24871501500	295314,58252300000	6710065,50514000000
M_0043	36,51928725390	70,97806822900	296075,01582500000	6709506,53096000000
M_L	35,52685586050	67,40424998050	296223,81633100000	6709443,90753000000
M_0145	52,23108075750	163,61664000500	296024,29874900000	6709921,44557000000
M_0632	50,29263641840	153,74241397500	295953,93736000000	6709829,81289000000
M_0026	35,45550590560	79,05174011420	296088,09031000000	6710026,65624000000
M_0027	146,83757936300	1529,29821911000	295978,73437400000	6709866,41862000000
M_0006	73,59523053160	349,26137547100	295620,05365100000	6710156,43159000000
M_0003	37,88248453290	71,70766180040	295426,05991600000	6710404,96648000000
M_0004	36,36442502450	79,88122103840	295476,59598500000	6710313,69059000000
M_0035	72,82690180370	293,49252861400	295890,22409500000	6710639,74471000000
M_0806	256,26352337300	1636,48345458000	296298,85519100000	6710905,05236000000
M_0762	98,32364606060	278,69495689400	296350,94967000000	6710824,89477000000
M_1038	35,52802752150	82,22414447270	296550,36176900000	6710714,60441000000
M_1038bis	43,07508966540	108,85922269000	296528,37667200000	6710701,78834000000
M_0812	121,26154519100	873,96194451100	296438,05136400000	6710710,59203000000
M_Sup1	51,24888823120	126,14520130600	296858,91480900000	6710628,30475000000
M_0024	37,54558877870	59,71797879230	296489,68357000000	6710371,24613000000
M_0961	86,81661472980	526,38970344700	296616,50306500000	6710146,41782000000
M_0025	86,22233660120	495,21392110600	296674,05812900000	6710423,60000000000
M_0029	59,56432781090	172,74027887800	296346,21099100000	6709942,89938000000
M_0028	38,12885660350	98,35835492010	296362,88184600000	6709939,03362000000
M_0893bis	51,89539574960	199,84529328300	296645,06306300000	6709875,08471000000
M_0893	132,83443430700	902,39664760700	296578,82730900000	6709768,51626000000
M_0030	124,65539612300	746,97931516300	296481,56622200000	6709628,85851000000
M_0031	68,98633577450	369,91926571300	296623,07219500000	6709560,02972000000
M_0032	45,74067930080	139,31005575700	296992,68153700000	6709585,59068000000
M_0888	118,30682852100	780,07709689100	297490,30918700000	6709450,35039000000
M_0949	51,74940486750	208,05690591500	297459,31305100000	6709445,52339000000
M_0079bis	58,13678425200	241,30430060200	297768,65863800000	6709288,09994000000
M_0079	77,44125887540	254,01858689600	297778,63078900000	6709330,59852000000
M_0062	45,27338700800	137,37304287700	297417,78690800000	6709857,10671000000
M_0033	83,36710681680	392,26834172400	297199,92763500000	6710124,66632000000
M_0894	34,94465740250	52,68406371740	297360,11049100000	6709981,12258000000
M_0038	57,54705421660	210,34967910400	297223,72830200000	6709921,99277000000
M_0038bis	87,39201272970	325,56376078600	297112,34360700000	6710198,39896000000
M_0034	58,48867678520	232,01449443700	297186,16670400000	6710504,70940000000
M_0039	19,17186845710	26,12893780980	297173,13796500000	6710551,47108000000
M_0033bis	43,17302483710	103,90099362900	297081,52798000000	6710192,08039000000
M_0037	38,28310356790	67,78338669320	297277,86405000000	6710474,14114000000
M_0036	49,00190844350	142,51078472200	297185,37855000000	6710590,64385000000
M_F	58,27597907960	202,58789530000	297329,80306100000	6710545,12728000000
M_I	78,28566572430	236,33972463500	297889,46848000000	6710455,33838000000
M_0077	66,66793054970	274,56147352000	297763,49626100000	6710488,66447000000
M_1141	59,04662212810	226,99874164700	297764,33012100000	6710525,89873000000
M_0058	69,39183408140	376,94011328300	297355,25082900000	6710770,40555000000
M_G	51,23604867190	151,09906373100	297368,95009200000	6710750,69801000000
M_0076	76,82722482180	280,16646500500	298093,53940700000	6710862,08848000000
M_0067	39,39096998630	98,90146842850	298042,38527300000	6710797,72439000000
M_0071	45,88240875350	134,95565338800	298300,09472400000	6710785,94881000000
M_C	59,12738895460	213,91047754800	298360,32280300000	6710908,04552000000
M_1011	81,87322546720	348,01739390900	298480,30803100000	6710777,17094000000
M_0073	46,67380360000	143,10913772900	298643,56141700000	6710850,70168000000
M_0070	92,03843613000	525,49335851100	298220,58875400000	6710706,87176000000
M_0068	129,76019757100	1001,72079855000	298024,02645500000	6710627,77834000000
M_0072	106,41794779900	459,56852190100	298163,09252000000	6710557,58084000000
M_0075	139,08088126700	1048,62662571000	298535,02497100000	6710380,90252000000
M_0075bis	134,38874773700	1051,00180106000	298343,91302600000	6710376,23016000000
M_B	48,08825053170	139,93618431300	298320,01827500000	6710349,67782000000
M_1203	83,62177156470	118,24626469000	298744,98478600000	6710419,14253000000
M_0069	58,52276198160	166,19707181000	298077,74034700000	6710213,59012000000
M_0960	132,83226069300	1186,87492505000	298102,16672100000	6709792,95244000000
M_0908	226,21853450700	2919,98773856000	298575,64018500000	6709602,14033000000
M_0937	64,75997814660	225,81747974500	298746,54920900000	6709980,88526000000
M_A	49,59512873850	139,25972685400	298368,66161000000	6709482,24514000000
M_0066	43,78261585460	143,92768541700	298882,42924300000	6710282,62009000000
M_1040	173,69788518200	2142,51920678000	298834,28710800000	6710505,56017000000
M_0074	145,19010224500	1355,52870528000	298775,43247500000	6710719,63806000000
M_0112	53,09157667090	179,27994614000	298834,02480300000	6710691,75742000000
M_0101	95,43469443490	484,44080763200	298956,91924600000	6710894,92546000000
M_J	65,18171656420	277,51751194100	299023,80733800000	6709277,11951000000
M_1199	87,25201112720	576,42555130000	300359,28071900000	6710836,92315000000
M_1178	82,26761946110	340,81503406400	299541,39510300000	6710659,43188000000
M_0094	78,44400417830	300,48199227900	300040,81229100000	6711128,75604000000
M_0093	47,97227455310	152,65372393600	300049,87491100000	6711236,81493000000
M_0091	45,98216172710	137,86436596400	300352,70840800000	6711608,11515000000
M_0092	297,18836601400	6188,40661145000	300450,08280600000	6711533,33547000000
M_0088	46,62745475820	145,75926042300	300107,11954100000	6711499,41225000000
M_0090	57,83005480900	153,32190470000	300134,17996000000	6711517,81221000000
M_0089	35,65819366830	90,45041256350	300140,94018800000	6711569,94375000000
M_1180	58,29181790670	234,28775489900	300104,42885500000	6711649,01539000000
M_0086	34,83363989620	83,57933579090	300058,39514500000	6711648,21695000000
M_0095	179,40483546800	1391,16537410000	299379,21015000000	6711060,24975000000
M_0096	47,04210393560	142,75448911800	299570,70294200000	6711027,43996000000
M_0097	60,37074427760	222,51339244000	299683,44287500000	6711021,17411000000
M_0098	44,67749439990	130,85043685600	299798,78721600000	6711088,08677000000
M_0087	36,99747455820	104,70986578500	299984,39359400000	6711493,47397000000
M_0100	37,38086019720	87,14561748450	299237,23940200000	6711166,27380000000
M_1016	146,56408599200	1079,13026533000	298531,44447500000	6711031,77478000000
M_0056	34,17513473700	68,49736712080	298219,46676100000	6711359,31860000000
M_0044	39,37875267810	98,61334882300	298293,38049200000	6711327,33173000000
M_0051	72,49194766740	242,85033563300	298031,56958100000	6711230,72050000000
M_0045	52,98444965320	126,95879943600	297659,72982700000	6711440,53870000000
M_0057	35,64411905470	79,16340582080	297346,83918900000	6711372,23897000000
M_0046	47,64378653370	151,60192813700	297400,16883800000	6711269,47178000000
M_0047	141,13484260200	1267,24001721000	297474,39764000000	6711109,76105000000
M_0049	44,81904366790	113,85437975500	297497,50899900000	6711022,16050000000
M_0050	55,93731313750	205,48971456300	297423,01044900000	6711005,40751000000
M_0052	31,18997142170	58,34217949480	297558,85169800000	6711012,30518000000
M_0048	52,56930950280	165,58655958800	297593,21881400000	6711143,32097000000
M_0085bis	32,37424117390	74,85919525000	299966,85698900000	6711768,77578000000
M_0053	78,19458125750	316,16317095800	297465,97556300000	6710988,11195000000
M_0054	51,98651463170	115,49167382100	297566,32013200000	6710909,66886000000
M_0055	48,75196192600	122,12512783300	297607,27732900000	6710946,96333000000
M_0060	29,66933558890	55,40368803040	297583,85371800000	6710863,03620000000
M_0022	171,79815781100	536,43584596200	297146,81111100000	6710953,02149000000
M_D	35,61135748100	69,26540562860	295490,22597500000	6709834,86742000000
M_0064	99,74700909340	651,12505977000	297892,36236000000	6710164,94959000000
M_0065	99,23101731130	601,04538896000	297860,02342900000	6710092,51703000000
M_0063	95,75671111250	415,77089951400	297771,87808500000	6709646,18382000000
