"Site"	"n"	"L"	"C"	"Modularity"	"Mean_trophic_level"	"Mean_Omnivory_Index"	"Richesse_spe"	"Links_per_species"	"indegree"	"outdegree"	"Percentage_basal"	"Percentage_top"	"Percentage_intermediate"	"Omnivory"	"S_Top"	"S_intermediate"	"S_Basal"	"Reseau"	"Bois"	"Cultures"	"Prairies"	"Surf_Urbanisees"	"Longueur_haies"	"Nb_de_mares"	"Vegetation_aquatique"	"Perimetre"	"Surface"	"Pente_en_rive_moyenne"	"Profondeur_maximum"	"Ecrevisses"	"Poissons"	"Hydroperiode"	"Anthropique"	"Ripysylve"	"Distance"	"Acilius spp."	"Aeshnidae"	"Anguille"	"Anisoptere"	"Asellus aquaticus"	"Bivalve"	"Brochet"	"Carpe"	"Chironomide"	"Colymbetes spp."	"Corises"	"Crapaud commun"	"Crevette spp."	"Culicidae"	"Cybister spp."	"Dytique"	"Dytiscus spp."	"Ecrevisse de Louisiane"	"Ephemere"	"Epinoche"	"Gambusie"	"Gammare spp."	"Gardon"	"Gasteropode spp."	"Gerridae"	"Glossiphonie"	"Graphoderus spp."	"Grenouille agile"	"Grenouille verte"	"Gyrinidae"	"Hirudinea"	"Hydrochara spp."	"Hydrometridae"	"Hydrophilidae"	"Hygrobia hermanni"	"Libellulidae"	"Limnee"	"Naucoridae"	"Nepidae"	"Notonecta glauca"	"Pelodyte ponctue"	"Perche franche"	"Perche-soleil"	"Physe"	"Poisson-chat"	"Rainette verte"	"Ranatre"	"Rotengle"	"Salamandre tachetee"	"Tanche"	"Trichoptere"	"Triton marbre"	"Triton palme"	"Zygoptere"	"Phytoplankton"	"Zooplankton"	"Detritus"	"Macrophyte"
"1"	"100"	21	254	0.575963718820862	0	4.00264550264551	1.28455993589207	21	12.0952380952381	12.0952380952381	12.0952380952381	0.142857142857143	0	0.857142857142857	0.80952380952381	0	18	3	"Briere"	0.037828692	0.285287742	0.554322988	0.028634105	1987.679437	0	"intermediaire"	37.38	87.15	21.8	1.2	0	0	"Permanent"	"Agricole"	10	600.26552984	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"2"	"101"	24	308	0.534722222222222	0	3.62513436800096	1.0613748811155	24	12.8333333333333	12.8333333333333	12.8333333333333	0.125	0	0.875	0.75	0	21	3	"Briere"	0.046113988	0.296274602	0.597429248	0.026819522	1356.661423	1	"beaucoup"	95.43	484.44	19.54	1.2	0	0	"Permanent"	"Agricole"	50	369.584276851	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"3"	"1011"	7	13	0.26530612244898	0	1.67460317460317	0.237006172839506	7	1.85714285714286	1.85714285714286	1.85714285714286	0.428571428571429	0	0.571428571428571	0.428571428571429	0	4	3	"Briere"	0.051968793	0.057297595	0.641160666	0.216715066	1213.774599	2	"peu"	81.87	348.02	16.04	0.4	0	1	"Temporaire"	"Recreationnel"	30	446.811718668	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"4"	"1016"	23	201	0.379962192816635	0	2.62590354116857	0.435777494417872	23	8.73913043478261	8.73913043478261	8.73913043478261	0.130434782608696	0	0.869565217391304	0.608695652173913	0	20	3	"Briere"	0.424565654	0.254446551	0.257066864	0.035720376	489.9941207	3	"peu"	146.56	1079.13	20.35	1	1	0	"Permanent"	"Recreationnel"	95	606.372590732	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"5"	"1038"	21	187	0.424036281179138	0.042268718333646	2.93896165431347	0.584566602221726	21	8.90476190476191	8.90476190476191	8.90476190476191	0.142857142857143	0.0476190476190476	0.80952380952381	0.666666666666667	1	17	3	"Mes"	0.085426859	0.302328369	0.376948625	0.177097769	1524.011903	3	"beaucoup"	35.53	82.22	29.9	3.69939854	1	0	"Permanent"	"Recreationnel"	NA	2169.83644975	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"6"	"1038bis"	21	205	0.464852607709751	0	3.32819627143744	0.986657922366285	21	9.76190476190476	9.76190476190476	9.76190476190476	0.19047619047619	0.0476190476190476	0.761904761904762	0.761904761904762	1	16	4	"Mes"	0.090478864	0.316133551	0.357603816	0.171891432	1627.795889	5	"intermediaire"	43.08	108.86	15.82	0.7	1	0	"Permanent"	"Recreationnel"	NA	2173.93975892	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"
"7"	"104"	17	129	0.44636678200692	0	2.86378415463549	0.7352970363136	17	7.58823529411765	7.58823529411765	7.58823529411765	0.235294117647059	0	0.764705882352941	0.705882352941177	0	13	4	"Briere"	0.245368627	0.286136331	0.075456337	0.020280111	1359.721057	1	"intermediaire"	26.27	52.27	16.04	0.6	1	0	"Temporaire"	"Agricole"	NA	7.70789835116	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"
"8"	"1040"	11	43	0.355371900826446	0.17091049382716	2.2069093381126	0.43083895170451	11	3.90909090909091	3.90909090909091	3.90909090909091	0.272727272727273	0	0.727272727272727	0.545454545454545	0	8	3	"Briere"	0.06192122	0	0.625990328	0.01584028	1995.787044	2	"peu"	173.7	2142.52	16.92	2.509043622	1	1	"Permanent"	"Agricole"	10	9.68302464485	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"
"9"	"105"	8	20	0.3125	0	1.91666666666667	0.327199074074074	8	2.5	2.5	2.5	0.375	0	0.625	0.5	0	5	3	"Briere"	0.33479565	0.194832657	0.395733099	0.029719842	1528.128917	1	"peu"	30.81	61.88	35.47	1.4	0	0	NA	"Agricole"	NA	170.176153905	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"10"	"106"	12	68	0.472222222222222	0	2.89914669571532	0.76418522282492	12	5.66666666666667	5.66666666666667	5.66666666666667	0.25	0	0.75	0.666666666666667	0	9	3	"Briere"	0.533833138	0	0.166428135	0.013492135	267.7129403	0	"beaucoup"	15.85	15.39	15.38	0.3	1	0	"Temporaire"	"Agricole"	NA	42.1817620955	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
