Reseau	Mares	Bois	Cultures	Prairies	Surf_Urbanisees	Longueur_haies	Nb_de_mares	 Vegetation_aquatique	Perimetre	Surface	Pente_en_rive_moyenne	Profondeur_maximum	Ecrevisses	Poissons	Hydroperiode	Anthropique	Ripysylve
Mes	M_0002	0.123774678	0.385861197	0.406902239	0.016427075	976.7104167	0	beaucoup	47.57	169.09	9.93	1	0	0	NA	Agricole	NA
Mes	M_0003	0.221683945	0.418372043	0.228091206	0.029515878	1873.364268	1	intermediaire	37.88	71.71	26.57	1.1	0	1	NA	Agricole	NA
Mes	M_0004	0.092529953	0.489908141	0.310008713	0.060420786	1831.83659	2	beaucoup	36.36	79.88	9.93	0.55	1	0	Temporaire	Agricole	NA
Mes	M_0005	0.017883039	0.302041602	0.360782171	0.260547017	899.3700041	0	peu	58.13	197.25	20.97	1.1	1	1	Permanent	Recreationnel	NA
Mes	M_0006	0.058426737	0.573422984	0.183293092	0.087877229	1319.459324	2	peu	73.60	349.26	10.62	1.367680847	1	1	Permanent	Recreationnel	NA
Mes	M_0007	0.056497673	0.500665489	0.202969777	0.129777537	1834.162044	0	beaucoup	50.30	133.13	28.07	1.45	0	0	Temporaire	Agricole	NA
Mes	M_0022	0	0.540655651	0.219496703	0.210476406	1173.950146	0	beaucoup	171.80	536.44	16.26	1	0	0	Temporaire	Agricole	NA
Mes	M_0024	0.089391463	0.312460703	0.385358229	0.104723093	1474.156785	3	peu	37.55	59.72	18.00	0.7	0	0	NA	Agricole	NA
Mes	M_0025	0.085776128	0.060294019	0.572982024	0.11589391	1818.685346	1	peu	86.22	495.21	18.78	0.9	0	1	Permanent	Recreationnel	NA
Mes	M_0026	0.081182676	0.680638647	0.064036123	0.049890318	885.6702586	2	beaucoup	35.46	79.05	11.31	0.25	0	0	Temporaire	Agricole	NA
Mes	M_0027	0.101551023	0.374555575	0.213128826	0.198574472	1674.209742	3	peu	146.84	1529.30	20.14	1.15	1	1	Permanent	Recreationnel	NA
Mes	M_0028	0.032559035	0.524031971	0.371388336	0.025441684	1743.425945	1	peu	38.13	98.36	12.68	0.4	0	0	Temporaire	Agricole	NA
Mes	M_0029	0.031536964	0.568142349	0.329269292	0.024232044	1765.610138	1	beaucoup	59.56	172.74	11.77	2.502809361	1	1	Permanent	Agricole	NA
Mes	M_0030	0.042153082	0.293542398	0.283940908	0.225781747	2068.880893	2	beaucoup	124.66	746.98	20.77	3.606969523	1	1	Permanent	Recreationnel	NA
Mes	M_0031	0.049110182	0.092396797	0.341958923	0.251816666	1688.230245	2	peu	68.99	369.92	13.70	0.6	0	0	Permanent	Agricole	NA
Mes	M_0032	0.076873926	0.580824596	0.191506005	0.065290795	949.4198651	0	beaucoup	45.74	139.31	25.80	2.053657331	0	0	Permanent	Agricole	NA
Mes	M_0033	0.185313346	0.293369397	0.215508253	0.192990664	859.1550699	5	intermediaire	83.37	392.27	24.94	0.85	1	1	Permanent	Recreationnel	NA
