"Site"	"n"	"L"	"C"	"Modularity"	"Mean_trophic_level"	"Mean_Omnivory_Index"	"Richesse_spe"	"Links_per_species"	"indegree"	"outdegree"	"Percentage_basal"	"Percentage_top"	"Percentage_intermediate"	"Omnivory"	"S_Top"	"S_intermediate"	"S_Basal"	"Distance"	"NEAR_FC"	"Perimetre"	"Surface"	"centroide_x"	"centroide_y"	"Acilius spp."	"Aeshnidae"	"Anguille"	"Anisoptere"	"Asellus aquaticus"	"Bivalve"	"Breme spp."	"Brochet"	"Carassin"	"Carpe"	"Chironomide"	"Colymbetes spp."	"Corises"	"Crapaud commun"	"Crevette spp."	"Culicidae"	"Cybister spp."	"Dytique"	"Dytiscus spp."	"Ecrevisse de Louisiane"	"Ephemere"	"Epinoche"	"Epinochette"	"Gambusie"	"Gammare spp."	"Gardon"	"Gasteropode spp."	"Gerridae"	"Glossiphonie"	"Graphoderus spp."	"Grenouille agile"	"Grenouille verte"	"Gyrinidae"	"Hirudinea"	"Hydrochara spp."	"Hydrometridae"	"Hydrophilidae"	"Hygrobia hermanni"	"Libellulidae"	"Limnee"	"Naucoridae"	"Nepidae"	"Notonecta glauca"	"Pelodyte ponctue"	"Perche-soleil"	"Perche franche"	"Physe"	"Poisson-chat"	"Potamogyrus spp."	"Rainette verte"	"Ranatre"	"Rotengle"	"Salamandre tachetee"	"Tanche"	"Trichoptere"	"Triton marbre"	"Triton palme"	"Zygoptere"	"Phytoplankton"	"Zooplankton"	"Detritus"	"Macrophyte"
"1"	"10"	8	23	0.359375	0	2.175	0.550486111111111	8	2.875	2.875	2.875	0.375	0	0.625	0.5	0	5	3	316.944564029	"Mes_Marais"	78.0345930439	268.495567188	295164.990066	6709391.6193	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"2"	"100"	21	254	0.575963718820862	0	4.00264550264551	1.28455993589207	21	12.0952380952381	12.0952380952381	12.0952380952381	0.142857142857143	0	0.857142857142857	0.80952380952381	0	18	3	600.26552984	"Briere_Marais"	37.3808601972	87.1456174845	299237.239402	6711166.2738	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"3"	"101"	24	308	0.534722222222222	0	3.62513436800096	1.0613748811155	24	12.8333333333333	12.8333333333333	12.8333333333333	0.125	0	0.875	0.75	0	21	3	369.584276851	"Briere_Marais"	95.4346944349	484.440807632	298956.919246	6710894.92546	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"4"	"1011"	7	13	0.26530612244898	0	1.67460317460317	0.237006172839506	7	1.85714285714286	1.85714285714286	1.85714285714286	0.428571428571429	0	0.571428571428571	0.428571428571429	0	4	3	446.811718668	"Briere_Marais"	81.8732254672	348.017393909	298480.308031	6710777.17094	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"5"	"1016"	23	201	0.379962192816635	0	2.62590354116857	0.435777494417872	23	8.73913043478261	8.73913043478261	8.73913043478261	0.130434782608696	0	0.869565217391304	0.608695652173913	0	20	3	606.372590732	"Briere_Marais"	146.564085992	1079.13026533	298531.444475	6711031.77478	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"6"	"103"	7	14	0.285714285714286	0	1.82142857142857	0.417410714285714	7	2	2	2	0.142857142857143	0	0.571428571428571	0	0	4	1	1331.86908242	"Mes_Marais"	35.5644654936	81.489753251	296118.556607	6709039.54972	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"
"7"	"1036"	6	8	0.222222222222222	0.375	1.41666666666667	0.1875	6	1.33333333333333	1.33333333333333	1.33333333333333	0.5	0.333333333333333	0.166666666666667	0.166666666666667	2	1	3	523.739122062	"Mes_Marais"	77.6853045084	310.584468543	296997.850352	6711629.08577	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"8"	"1038"	21	187	0.424036281179138	0.042268718333646	2.93896165431347	0.584566602221726	21	8.90476190476191	8.90476190476191	8.90476190476191	0.142857142857143	0.0476190476190476	0.80952380952381	0.666666666666667	1	17	3	248.236588014	"Mes_Marais"	35.5280275215	82.2241444727	296550.361769	6710714.60441	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"9"	"1038bis"	21	205	0.464852607709751	0	3.32819627143744	0.986657922366285	21	9.76190476190476	9.76190476190476	9.76190476190476	0.19047619047619	0.0476190476190476	0.761904761904762	0.761904761904762	1	16	4	239.358381573	"Mes_Marais"	43.0750896654	108.85922269	296528.376672	6710701.78834	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"
"10"	"104"	17	129	0.44636678200692	0	2.86378415463549	0.7352970363136	17	7.58823529411765	7.58823529411765	7.58823529411765	0.235294117647059	0	0.764705882352941	0.705882352941177	0	13	4	7.70789835116	"Briere_Marais"	26.2655522131	52.2650038866	298146.416443	6709012.6218	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"
