Predator	Prey	Stade	Predator_latin	Prey_latin	Ref	Notice
Acilius spp.	Culicidae		Acilius spp.	Diptera culicidae	Happold, D.C.D. (1965) MOSQUITO ECOLOGY IN CENTRAL ALBERTA: I. THE ENVIRONMENT, THE SPECIES, AND STUDIES OF THE LARVAE. Canadian Journal of Zoology. 43(5), 795–819.	
Acilius spp.	Libellulidae		Acilius spp.	Libellulidae	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia. 110(4), 567–575.	
Aeshnidae	Ephemere	Larve	Aeshnidae	Ephemeroptera	A. Cloarec Alimentation de larves d’Anax imperator Leach dans un milieu naturel(Anisoptera: Aeshnidae). Odonatologica. 6(4), 227–243.	
Aeshnidae	Zygoptere	Larve	Aeshnidae	Zygoptera	A. Cloarec Alimentation de larves d’Anax imperator Leach dans un milieu naturel(Anisoptera: Aeshnidae). Odonatologica. 6(4), 227–243.	
Aeshnidae	Libellulidae	Larve	Aeshnidae	Libellulidae	A. Cloarec Alimentation de larves d’Anax imperator Leach dans un milieu naturel(Anisoptera: Aeshnidae). Odonatologica. 6(4), 227–243.	
Aeshnidae	Notonecta glauca	Larve	Aeshnidae	Notonecta glauca	A. Cloarec Alimentation de larves d’Anax imperator Leach dans un milieu naturel(Anisoptera: Aeshnidae). Odonatologica. 6(4), 227–243.	Rarely captured
Aeshnidae	Naucoridae	Larve	Aeshnidae	Naucoridae	A. Cloarec Alimentation de larves d’Anax imperator Leach dans un milieu naturel(Anisoptera: Aeshnidae). Odonatologica. 6(4), 227–243.	Rarely captured
Aeshnidae	Hydrophilidae		Aeshnidae	Hydrophilidae	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia. 110(4), 567–575.	
Aeshnidae	Glossiphonie		Aeshnidae	Hirudenea	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia. 110(4), 567–575.	
Aeshnidae	Hirudinea		Aeshnidae	Hirudenea	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia. 110(4), 567–575.	
Aeshnidae	Colymbetes spp.		Aeshnidae	Colymbetinae	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia. 110(4), 567–575.	
Aeshnidae	Culicidae		Aeshnidae	Diptera culicidae	Happold, D.C.D. (1965) MOSQUITO ECOLOGY IN CENTRAL ALBERTA: I. THE ENVIRONMENT, THE SPECIES, AND STUDIES OF THE LARVAE. Canadian Journal of Zoology. 43(5), 795–819.	
Anguille	Epinoche		Anguilla anguilla	Gasterosteidae	Gross, H.P. (1978) Natural selection by predators on the defensive apparatus of the three-spined stickleback, Gasterosteus aculeatus L. Canadian Journal of Zoology. 56(3), 398–413.	
Anguille	Ecrevisse de Louisiane		Anguilla anguilla	Procambarus clarkii		
Anguille	Epinochette		Anguilla anguilla	Pungitius pungitius		
Anguille	Carpe		Anguilla anguilla	Cyprinus carpio		
Anguille	Gardon		Anguilla anguilla	Rutilus rutilus		
Anguille	Poisson-chat		Anguilla anguilla	Ameiurus melas		
Anguille	Perche-soleil		Anguilla anguilla	Lepomis gibbosus		
Anguille	Tanche		Anguilla anguilla	Tinca tinca		
Anguille	Rotengle		Anguilla anguilla	Scardinius erythrophthalmus		
Anguille	Brochet		Anguilla anguilla	Esox lucius		
Anguille	Breme spp.		Anguilla anguilla	Abramis 		
Anguille	Carassin		Anguilla anguilla	Carassius carassius		
Anguille	Perche franche		Anguilla anguilla	Perca fluviatilis		
Anguille	Aeshnidae		Anguilla anguilla	Aeshnidae		
Anguille	Culicidae		Anguilla anguilla	Culicidae		
Anguille	Dytique		Anguilla anguilla	Dytiscidae		
Anguille	Dytiscus spp.		Anguilla anguilla	Dytiscus spp.		
Anguille	Ephemere		Anguilla anguilla	Ephemeroptera		
Anguille	Graphoderus spp.		Anguilla anguilla	Graphoderus spp.		
Anguille	Hydrochara spp.		Anguilla anguilla	Hydrochara spp.		
Anguille	Hygrobia hermanni		Anguilla anguilla	Hygrobia hermanni		
Anguille	Libellulidae		Anguilla anguilla	Libellulidae		
Anguille	Naucoridae		Anguilla anguilla	Naucoridae		
Anguille	Notonecta glauca		Anguilla anguilla	Notonecta glauca		
Anguille	Trichoptere		Anguilla anguilla	Trichoptera		
Anguille	Zygoptere		Anguilla anguilla	Zygoptera		
Acilius spp.	Culicidae		Acilius spp.	Diptera culicidae	Happold, D.C.D. (1965) MOSQUITO ECOLOGY IN CENTRAL ALBERTA: I. THE ENVIRONMENT, THE SPECIES, AND STUDIES OF THE LARVAE. Canadian Journal of Zoology. 43(5), 795–819.	
Acilius spp.	Libellulidae		Acilius spp.	Libellulidae	Schneider, D.W. (1997) Predation and food web structure along a habitat duration gradient. Oecologia. 110(4), 567–575.	
Anisoptere	Ephemere	Larve	Anisoptera	Ephemeroptera	A. Cloarec Alimentation de larves d’Anax imperator Leach dans un milieu naturel(Anisoptera: Aeshnidae). Odonatologica. 6(4), 227–243.	
