Milieux	Id_Sites	Année	Date	Taxonomie	Niveau taxonomique	Taxon	Stade de vie	Taxon_stdVie	Occurrence	Modalité "écrevisses"	Technique d'échantillonnage	Nb_sessions d'échantillonnage	Effort d'échantillonnage/session	Qualité de l'échantillonnage	Cadre du monitoring	Objectif du monitoring	Propriété des données
Marais	Bassin_02	2011	Juillet	Crustacé	Famille	Crevette spp.		Crevette spp.	1	Présence	Piège à écrevisses	1	10	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_02	2011	Juillet	Poisson	Espèce	Gambusie		Gambusie	1	Présence	Piège à écrevisses	1	10	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_02	2011	Juillet	Amphibien	Espèce	Grenouille agile	Adulte	Grenouille agile_Ad	1	Présence	Piège à écrevisses	1	10	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_02	2011	Juillet	Malacostracé	Espèce	Ecrevisse de Louisiane		Ecrevisse de Louisiane	1	Présence	Piège à écrevisses	1	10	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_03	2011	Juillet	Poisson	Espèce	Brème spp.		Brème spp.	1	Présence	Piège à écrevisses	1	12	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_03	2011	Juillet	Crustacé	Famille	Crevette spp.		Crevette spp.	1	Présence	Piège à écrevisses	1	12	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_03	2011	Juillet	Poisson	Espèce	Gambusie		Gambusie	1	Présence	Piège à écrevisses	1	12	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_03	2011	Juillet	Malacostracé	Espèce	Ecrevisse de Louisiane		Ecrevisse de Louisiane	1	Présence	Piège à écrevisses	1	12	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_03	2011	Juillet	Poisson	Espèce	Perche-soleil		Perche-soleil	1	Présence	Piège à écrevisses	1	12	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Marais	Bassin_03	2011	Juillet	Poisson	Espèce	Rotengle		Rotengle	1	Présence	Piège à écrevisses	1	12	Pas adapté pour un échantillonnage exhaustif	Doctorat Anne TREGUIER	Patron de distribution de l'Ecrevisse de Louisiane	Anne TREGUIER & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Hétéroptère	Famille	Corixidae		Corixidae	1	Présence	Pipe	1	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Coléoptère aquatique	Famille	Dytiscidae	Adulte	Dytiscidae_Ad	1	Présence	Pipe	1	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Coléoptère aquatique	Famille	Dytiscidae	Larve	Dytiscidae_L	1	Présence	Pipe	1	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Amphibien	Espèce	Triton palmé	Larve	Triton palmé_L	1	Présence	Pipe	5	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Hétéroptère	Espèce	Notonecta glauca		Notonecta glauca	1	Présence	Pipe	1	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Amphibien	Espèce	Rainette verte	Larve	Rainette verte_L	1	Présence	Pipe	5	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Amphibien	Espèce	Grenouille agile	Larve	Grenouille agile_L	1	Présence	Pipe	1	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	09Avril-03Juillet	Amphibien	Espèce	Triton palmé	Larve	Triton palmé_L	1	Présence	Pipe	5	4	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	22-mai	Coléoptère aquatique	Famille	Dytiscidae	Adulte	Dytiscidae_Ad	1	Présence	Piège à écrevisses	1	8	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	22-mai	Coléoptère aquatique	Espèce	Hygrobia hermanni	Adulte	Hygrobiidae_Ad	1	Présence	Piège à écrevisses	1	8	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	22-mai	Coléoptère aquatique	Famille	Dytiscidae	Larve	Dytiscidae_L	1	Présence	Piège à écrevisses	1	8	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	22-mai	Hétéroptère	Famille	Nepidae		Nepidae	1	Présence	Piège à écrevisses	1	8	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	4	2015	22-mai	Amphibien	Espèce	Grenouille agile	Larve	Grenouille agile_L	1	Présence	Piège à écrevisses	1	8	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Hétéroptère	Famille	Corixidae		Corixidae	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Reptile	Espèce	Couleuvre à collier		Couleuvre à collier	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Coléoptère aquatique	Famille	Dytiscidae	Adulte	Dytiscidae_Ad	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Grenouille agile	Adulte	Grenouille agile_Ad	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Grenouille verte	Adulte	Grenouille verte_Ad	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Coléoptère aquatique	Espèce	Hygrobia hermanni	Adulte	Hygrobiidae_Ad	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Odonate	Sous-Ordre	Anisoptère	Larve	Anisoptère_L	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Coléoptère aquatique	Famille	Dytiscidae	Larve	Dytiscidae_L	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Coléoptère aquatique	Espèce	Hygrobia hermanni	Larve	Hygrobiidae_L	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Triton marbré	Larve	Triton marbré_L	1	Absence	Pipe	5	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Triton palmé	Larve	Triton palmé_L	1	Absence	Pipe	5	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Odonate	Sous-Ordre	Zygoptère	Larve	Zygoptère_L	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Hétéroptère	Espèce	Notonecta glauca		Notonecta glauca	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Rainette verte	Larve	Rainette verte_L	1	Absence	Pipe	5	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Grenouille agile	Larve	Grenouille agile_L	1	Absence	Pipe	1	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Triton marbré	Larve	Triton marbré_L	1	Absence	Pipe	5	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
Mare	22	2015	09Avril-03Juillet	Amphibien	Espèce	Triton palmé	Larve	Triton palmé_L	1	Absence	Pipe	5	10	Assez exhaustif	Master2 Nadège BELOUARD	Succès de reproduction des amphibiens vs écrevisse	Nadège BELOUARD & JMarc PAILLISSON
